# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
26	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	25	det	_	_
27-28	ṣēnīšunu	_	_	_	_	_	_	_	_
27	ṣēnī	ṣēnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	19	conj	_	ṣe-ni-šu-nu
28	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	27	det	_	_
29	ušēṣâ	waṣû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=S	0	root	0:root	u₂-še-ṣa-a
30	ana	ana	ADP	PRP	_	31	case	_	a-na
31-32	āliya	_	_	_	_	_	_	_	_
31	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	34	obl	_	URU-ia
32	ya	_	PRON	_	Number=Sg|Person=1	31	det	_	_
33	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	31	appos	_	aš-šur
34	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	29	conj	_	ub-la
35-36	ilānišunu	_	_	_	_	_	_	_	_
35	ilāni	ilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	44	obj	_	DINGIR.MEŠ-ni-šu-nu
36	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	35	det	_	_
37	kī	kī	ADP	PRP	_	38	case	_	ki-i
38	qīšūte	qīštu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	44	obl	_	qiš-šu-te
39	ana	ana	ADP	PRP	_	40	case	_	a-na
40	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	44	obl	_	aš-šur
41-42	bēliya	_	_	_	_	_	_	_	_
41	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	40	appos	_	EN-ia
42	ya	_	PRON	_	Number=Sg|Person=1	41	det	_	_
43	lū	lū	PART	MOD	_	44	advmod:emph	_	lu
44	aqīš	qiāšu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-qiš
45	x	_	NOUN	u	_	_	_	_	x
46	ša	ša	PRON	DET	_	53	obj	_	ša
47	aššâ	našû	VERB	V	Finiteness=Finite|Gender=C|Mood=Undefined|Number=Sg|Person=1|Subordinative=Yes|Tense=Preterit|Ventive=Yes|Verbstem=G	_	_	_	_
48	ana	ana	ADP	PRP	_	49	case	_	a-na
49	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	53	obl	_	aš-šur
50-51	bēliya	_	_	_	_	_	_	_	_
50	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	49	appos	_	EN-ia
51	ya	_	PRON	_	Number=Sg|Person=1	50	det	_	_
52	lū	lū	PART	MOD	_	53	advmod:emph	_	lu
53	aqīš	qiāšu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-qiš

# sent_id = Q006013-8
# text = nišē māt Aššur anhāte ša ištu pān sunqi bubūte hušahhi ālānišunu bītātišunu uššerūni ana mātāti šaniāte ēliʾūni utēraššunu ālānišunu bītātišunu naṭûte ušaṣbissunu šubtu nēhtu ušbū ēkallāti ina šiddī mātiya arṣip epinnāti ina šiddi mātiya arkus še’ū tabkāni eli ša pāna ušāter atbuk sisê ṣimdāt nīrī x ana emūq māt Aššur arkus
1	nišē	nišu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Undefined|Number=Pl	20	obj	_	ni-še
2	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	1	nmod:poss	_	KUR
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	_	aš-šur
4	anhāte	anhu	ADJ	AJ	Case=Undefined|Gender=F|Number=Pl	1	amod	_	an-ha-te
5	ša	ša	PRON	DET	_	15	nsubj	_	ša
6	ištu	ištu	ADP	PRP	_	7	case	_	iš-tu
7	pān	pānu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	15	obl	_	pa-an
8	sunqi	sunqu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	7	nmod:poss	_	su-un-qi
9	bubūte	bubūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	8	conj	_	bu-bu-te
10	hušahhi	hušahhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	8	conj	_	hu-šah-hi
11-12	ālānišunu	_	_	_	_	_	_	_	_
11	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	15	obj	_	URU.MEŠ-ni-šu-nu
12	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	11	det	_	_
13-14	bītātišunu	_	_	_	_	_	_	_	_
13	bītāti	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	11	conj	_	E₂.MEŠ-šu-nu
14	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	13	det	_	_
15	uššerūni	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=D	1	acl:relcl	_	_
16	ana	ana	ADP	PRP	_	17	case	_	a-na
17	mātāti	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	19	obl	_	_
18	šaniāte	šanû	ADJ	AJ	Case=Undefined|Gender=F|Number=Pl	17	amod	_	ša-ni-a-te
19	ēliʾūni	elû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	15	conj	_	e-li-u₂-ni
20-21	utēraššunu	_	_	_	_	_	_	_	_
20	utēraš	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=D	0	root	0:root	_
21	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	20	obj	_	_
22-23	ālānišunu	_	_	_	_	_	_	_	_
22	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	27	obl	_	URU.MEŠ-ni-šu-nu
23	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	22	det	_	_
24-25	bītātišunu	_	_	_	_	_	_	_	_
24	bītāti	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	22	conj	_	E₂.MEŠ-šu-nu
25	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	24	det	_	_
26	naṭûte	naṭû	ADJ	AJ	Case=Undefined|Gender=M|Number=Pl	24	amod	_	na-ṭu-te
27-28	ušaṣbissunu	_	_	_	_	_	_	_	_
27	ušaṣbis	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	0	root	0:root	_
28	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	27	obj	_	_
29	šubtu	šubtu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	31	obl	_	šub-tu
30	nēhtu	nēhtu	ADJ	N	Case=Nom|Gender=F|Number=Sg	29	amod	_	ne₂-eh-tu
31	ušbū	wašābu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	27	conj	_	_
32	ēkallāti	ēkallu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	37	obj	_	E₂.GAL.MEŠ
33	ina	ina	ADP	PRP	_	34	case	_	i-na
34	šiddī	šiddu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	37	obl	_	šid-di
35-36	mātiya	_	_	_	_	_	_	_	_
35	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	34	nmod:poss	_	KUR-ia
36	ya	_	PRON	_	Number=Sg|Person=1	35	det	_	_
37	arṣip	raṣāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ar-ṣip
38	epinnāti	epinnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	43	obj	_	_
39	ina	ina	ADP	PRP	_	40	case	_	i-na
40	šiddi	šiddu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	43	obl	_	_
41-42	mātiya	_	_	_	_	_	_	_	_
41	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	40	nmod:poss	_	KUR-ia
42	ya	_	PRON	_	Number=Sg|Person=1	41	det	_	_
43	arkus	rakāsu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ar-ku-us
44	še’ū	_	NOUN	_	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	49	obj	_	_
45	tabkāni	tabku	NOUN	AJ	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	49	obl	_	tab-ka-a-ni
46	eli	eli	ADP	PRP	_	47	case	_	UGU
47	ša	ša	ADP	REL	_	48	case	_	ša
48	pāna	pāna	ADV	AV	_	49	obl	_	pa-na
49	ušāter	watāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	43	conj	_	u₂-ša-te-er
50	atbuk	tabāku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	49	xcomp	_	at-bu-uk
51	sisê	sisû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	59	obj	_	ANŠE.KUR.RA.MEŠ
52	ṣimdāt	ṣimdu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	51	appos	_	ṣi-im-da-at
53	nīrī	nīru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	52	nmod:poss	_	{GIŠ}ni-ri.MEŠ
54	x	_	X	u	_	_	_	_	x
55	ana	ana	ADP	PRP	_	56	case	_	a-na
56	emūq	emūqu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	59	obl	_	e-muq
57	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	56	nmod:poss	_	KUR
58	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	57	nmod:poss	_	aš-šur
59	arkus	rakāsu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ar-ku-us

# sent_id = Q006013-9
# text = Ninurta u Nergal ša šangûtī irammū būl ṣērī ušatlimūnima epēš buʾʾuri iqbûnimma 2 šūši nēšē ina qereb x ina narkabtiya pattûte ina šēpīya lasamāte ina pašhi adūk 1 līm šeš mē rīmī adūk 2 puhālu rīmī dannūte ina šubte uṣabbita 56 pīrī adūk
1	Ninurta	Ninurta	PROPN	DN	Case=Undefined|Gender=M	10	nsubj	_	{d}MAŠ
2	u	u	CCONJ	CNJ	_	3	cc	_	u
3	Nergal	Nergal	PROPN	DN	Case=Undefined|Gender=M	1	conj	_	{d}IGI.DU
4	ša	ša	PRON	DET	_	7	nsubj	_	ša
5-6	šangûtī	_	_	_	_	_	_	_	_
5	šangût	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	7	obj	_	_
6	ī	_	PRON	_	Number=Sg|Person=1	5	det	_	_
7	irammū	râmu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	1	acl:relcl	_	i-ra-mu
8	būl	būlu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	10	obj	_	bu-ul
9	ṣērī	ṣēru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Free|Number=Pl	8	nmod:poss	_	EDIN.MEŠ
10-12	ušatlimūnima	_	_	_	_	_	_	_	_
10	ušatlimū	šutlumu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=S	0	root	0:root	u₂-šat-li-mu-ni-ma
11	ni	_	PRON	_	Number=Sg|Person=1	10	obl	_	_
12	ma	_	CCONJ	_	_	15	cc	_	_
13	epēš	epēšu	VERB	V	Case=Undefined|Finiteness=Infinitive|Gender=M|Nounbase=Bound|Number=Sg|Verbstem=G	15	advcl	_	e-peš
14	buʾʾuri	buʾʾuru	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	13	nmod:poss	_	bu-ʾu-ri
15-17	iqbûnimma	_	_	_	_	_	_	_	_
15	iqbû	qabû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Tense=Preterit|Verbstem=G	10	conj	_	iq-bu-ni-ma
16	nim	_	PRON	_	Number=Sg|Person=1	15	obj	_	_
17	ma	_	PART	_	_	15	dep	15:dep	_
18	2 šūši	_|šūši	NUM	n|NU	_	19	nummod	_	2|šu-ši
19	nēšē	nēšu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	33	obj	_	UR.MAH.MEŠ
20	ina	ina	ADP	PRP	_	21	case	_	i-na
21	qereb	qerbu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	33	obl	_	qe₂-reb
22	x	_	X	u	_	_	_	_	x
23	ina	ina	ADP	PRP	_	24	case	_	i-na
24-25	narkabtiya	_	_	_	_	_	_	_	_
24	narkabti	narkabtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	33	obl	_	{GIŠ}GIGIR-ia
25	ya	_	PRON	_	Number=Sg|Person=1	24	det	_	_
26	pattûte	pattû	NOUN	AJ	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	24	nmod:poss	_	_
27	ina	ina	ADP	PRP	_	28	case	_	i-na
28-29	šēpīya	_	_	_	_	_	_	_	_
28	šēpī	šēpu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	33	obl	_	GIR₃.II.MEŠ-ia
29	ya	_	PRON	_	Number=Sg|Person=1	28	det	_	_
30	lasamāte	lasmu	ADJ	AJ	Case=Undefined|Gender=F|Number=Pl	28	amod	_	la-sa-ma-te
31	ina	ina	ADP	PRP	_	32	case	_	i-na
32	pašhi	pašhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	33	obl	_	{GIŠ}pa-aš-hi
33	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
34	1 līm šeš mē	_|līm|šeššu|meʾatu	NUM	n|NU|NU|NU	_	35	nummod	_	1|LIM|6|ME
35	rīmī	rīmu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	36	obj	_	GU₄.AM.MEŠ
36	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
37	2	_	NUM	n	_	38	nummod	_	2
38	puhālu	puhālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Sg	43	obj	_	_
39	rīmī	rīmu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	38	appos	_	GU₄.AM.MEŠ
40	dannūte	dannu	ADJ	AJ	Case=Undefined|Gender=M|Number=Pl	39	amod	_	dan-nu-te
41	ina	ina	ADP	PRP	_	42	case	_	i-na
42	šubte	šubtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	43	obl	_	šub-te
43	uṣabbita	ṣabātu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=D	0	root	0:root	u₂-ṣab-bi-ta
44	56	_	NUM	n	_	45	nummod	_	56
45	pīrī	pīru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	46	obj	_	AM.SI.MEŠ
46	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk

# sent_id = Q006013-10
# text = enūma Ekallu-eššetu ša Baltil ša ina pān x iššak Aššur mār x iššak Aššurma rubû ālik pāniya ēpušu ēkallu šuʾātu ēnahuma anhūssa unekkir ašarša umessi dannassa akšuda ištu uššēša adi gabadibbēša arṣip ušeklil eli mahrīti ussime ina ūmešuma Aššur-dan iššak Aššur mār Tukulti-apil-Ešarra iššak Aššurma x ana muhhiša iš-x x dalāt ašūhi ṣīrāte ēpuš ina bābātīša urette narêya alṭur ina qerbiša aškun
1	enūma	inūma	SCONJ	SBJ	_	23	mark	_	e-nu-ma
2	Ekallu-eššetu	Ekallu-eššetu	PROPN	ON	Case=Nom|Gender=F	23	nsubj	_	E₂.GAL-lum-GIBIL-tu
3	ša	ša	ADP	DET	_	4	case	_	ša
4	Baltil	Baltil	PROPN	SN	Case=Undefined|Gender=Undefined	2	nmod	_	{URU}bal-til
5	ša	ša	PRON	DET	_	20	obj	_	ša
6	ina	ina	ADP	PRP	_	7	case	_	i-na
7	pān	pānu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	20	obl	_	pa-an
8	x	_	PROPN	u	_	20	nsubj	_	x
9	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	ŠID
10	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	9	nmod:poss	_	aš-šur
11	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	DUMU
12	x	_	PROPN	u	Gender=M	11	nmod:poss	_	x
13	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	appos	_	ŠID
14-15	Aššurma	_	_	_	_	_	_	_	_
14	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	13	nmod:poss	_	aš-šur-ma
15	ma	_	PART	_	_	14	det	_	_
16	rubû	rubû	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	8	appos	_	NUN-u₂
17	ālik	āliku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	8	appos	_	a-lik
18-19	pāniya	_	_	_	_	_	_	_	_
18	pāni	pānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	17	nmod:poss	_	pa-ni-ia
19	ya	_	PRON	_	Number=Sg|Person=1	18	det	_	_
20	ēpušu	epēšu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Subordinative=Yes|Tense=Preterit|Verbstem=G	2	acl:relcl	_	e-pu-šu
21	ēkallu	ēkallu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	2	appos	_	_
22	šuʾātu	šuāti	DET	IP	Gender=F|Number=Sg|Person=3	21	amod	_	šu-a-tu
23-24	ēnahuma	_	_	_	_	_	_	_	_
23	ēnahu	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	27	advcl	_	_
24	ma	_	CCONJ	_	_	27	cc	_	_
25-26	anhūssa	_	_	_	_	_	_	_	_
25	anhūs	anhūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	27	obj	_	an-hu-sa
26	sa	_	PRON	_	Gender=F|Number=Sg|Person=3	25	det	_	_
27	unekkir	nakāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	0	root	0:root	u₂-ne₂-ki-ir
28-29	ašarša	_	_	_	_	_	_	_	_
28	ašar	ašru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	30	obj	_	a-šar-ša
29	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	28	det	_	_
30	umessi	wussû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	27	conj	_	u₂-me-si
31-32	dannassa	_	_	_	_	_	_	_	_
31	dannas	dannatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	33	obj	_	da-na-sa
32	sa	_	PRON	_	Gender=F|Number=Sg|Person=3	31	det	_	_
33	akšuda	kašādu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	27	conj	_	ak-šu-da
34	ištu	ištu	ADP	PRP	_	35	case	_	iš-tu
35-36	uššēša	_	_	_	_	_	_	_	_
35	uššē	uššu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	40	obl	_	uš-še-ša
36	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	35	det	_	_
37	adi	adi	ADP	PRP	_	38	case	_	a-di
38-39	gabadibbēša	_	_	_	_	_	_	_	_
38	gabadibbē	gabadibbu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	40	obl	_	gaba-dib-be-ša
39	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	38	det	_	_
40	arṣip	raṣāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ar-ṣip
41	ušeklil	šuklulu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	40	xcomp	_	u₂-še-ek-li-il
42	eli	eli	ADP	PRP	_	43	case	_	e-li
43	mahrīti	mahrû	ADV	AJ	_	44	obl	_	mah-ri-te
44	ussime	wasāmu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	40	conj	_	u₂-si-me
45	ina	ina	ADP	PRP	_	46	case	_	i-na
46-48	ūmešuma	_	_	_	_	_	_	_	_
46	ūme	ūmu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	61	obl	_	u₄-me-šu₂-ma
47	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	46	det	_	_
48	ma	_	PART	_	_	46	det	_	_
49	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	61	nsubj	_	{m}aš-šur-KAL-an
50	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	49	appos	_	ŠID
51	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	50	nmod:poss	_	aš-šur
52	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	49	appos	_	DUMU
53	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Case=Undefined|Gender=M	52	nmod:poss	_	{GIŠ}tukul-ti-A-e₂-šar₂-ra
54	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	53	appos	_	ŠID
55-56	Aššurma	_	_	_	_	_	_	_	_
55	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	54	nmod:poss	_	aš-šur-ma
56	ma	_	PART	_	_	55	det	_	_
57	x	_	X	u	_	_	_	_	x
58	ana	ana	ADP	PRP	_	59	case	_	a-na
59-60	muhhiša	_	_	_	_	_	_	_	_
59	muhhi	muhhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	61	obl	_	muh-hi-ša
60	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	59	det	_	_
61	iš-x	_	VERB	u	_	0	root	0:root	iš-x
62	x	_	X	u	_	_	_	_	x
63	dalāt	daltu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	66	obj	_	_
64	ašūhi	ašūhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	63	nmod:poss	_	{GIŠ}a-šu-hi
65	ṣīrāte	ṣīru	ADJ	AJ	Case=Undefined|Gender=F|Number=Pl	63	amod	_	ṣi-ra-a-te
66	ēpuš	epēšu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	e-pu-uš
67	ina	ina	ADP	PRP	_	68	case	_	i-na
68-69	bābātīša	_	_	_	_	_	_	_	_
68	bābāti	bābu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	70	obl	_	KA₂.MEŠ-ša
69	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	68	det	_	_
70	urette	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	66	conj	_	_
71-72	narêya	_	_	_	_	_	_	_	_
71	narê	narû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	73	obj	_	{NA₄}NA.RU₂.A.MEŠ-ia
72	ya	_	PRON	_	Number=Sg|Person=1	71	det	_	_
73	alṭur	šaṭāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	al-ṭu-ur
74	ina	ina	ADP	PRP	_	75	case	_	i-na
75-76	qerbiša	_	_	_	_	_	_	_	_
75	qerbi	qerbu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	77	obl	_	qer-bi-ša
76	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	75	det	_	_
77	aškun	šakānu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	73	conj	_	aš-kun

# sent_id = Q006013-11
# text = rubû arkû ina šarrāni mārēya ša Aššur inabbûšu anhūt ēkalli šuāti luddiš x šumī šaṭra ana ašrišu lutēr Aššur ikribīšu išemme x
1	rubû	rubû	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	14	nsubj	_	NUN-u₂
2	arkû	warkû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	1	amod	_	EGIR-u₂
3	ina	ina	ADP	PRP	_	4	case	_	i-na
4	šarrāni	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	14	obl	_	MAN.MEŠ
5-6	mārēya	_	_	_	_	_	_	_	_
5	mārē	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	4	appos	_	DUMU.DUMU-ya
6	ya	_	PRON	_	Number=Sg|Person=1	5	det	_	_
7	ša	ša	PRON	REL	_	9	obj	_	ša
8	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	9	nsubj	_	aš-šur
9-10	inabbûšu	_	_	_	_	_	_	_	_
